cntry,pplfair,pplhlp,ppltrst,lw_pnd,lrscale,polintr,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,contadornegativo,ContadorNeutro,ContadorPositivo
Hungría,4.0,3.0,5.0,1.0,4.0,2.0,5.0,5.0,5.0,8.0,8.0,7.0,4.0,7.0,0.0,7.0,5.0,5.0,3.0,2.0,2,0,9.25,2.0
Hungría,0.0,0.0,3.0,2.0,5.0,2.0,5.0,0.0,0.0,5.0,0.0,3.0,3.0,3.0,0.0,7.0,1.0,1.0,5.0,0.0,2,3,6.25,10.5
Hungría,1.0,1.0,1.0,3.0,9.0,4.0,5.0,1.0,1.0,8.0,8.0,6.0,1.0,2.0,0.0,5.0,1.0,1.0,8.0,8.0,2,0,3.5,1.75
Hungría,5.0,5.0,0.0,3.0,10.0,3.0,4.0,5.0,2.0,5.0,9.0,4.0,3.0,4.0,0.0,2.0,5.0,6.0,8.0,8.0,2,2,8.25,4.5
Hungría,5.0,4.0,1.0,1.0,7.0,3.0,2.0,2.0,0.0,6.0,2.0,2.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,10.0,2,0,1.75,8.0
Hungría,2.0,2.0,2.0,1.0,5.0,2.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,0.0,10.0,4.0,5.0,8.0,4.0,2,2,10.75,3.5
Hungría,6.0,5.0,0.0,1.0,0.0,3.0,5.0,5.0,6.0,5.0,8.0,8.0,5.0,4.0,0.0,3.0,5.0,2.0,8.0,10.0,2,3,9.25,6.5
Hungría,0.0,0.0,0.0,1.0,5.0,3.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,2,2,4.75,18.5
Hungría,0.0,2.0,1.0,1.0,10.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,7.0,9.0,0.0,6.0,1.0,2,2,12.25,6.5
Hungría,4.0,3.0,3.0,1.0,5.0,3.0,8.0,7.0,8.0,5.0,5.0,2.0,5.0,3.0,0.0,8.0,4.0,5.0,7.0,4.0,2,0,7.75,2.0
Hungría,4.0,5.0,5.0,2.0,5.0,3.0,8.0,7.0,5.0,5.0,4.0,4.0,3.0,7.0,0.0,8.0,6.0,7.0,8.0,9.0,2,1,7.75,1.5
Hungría,7.0,5.0,7.0,1.0,6.0,3.0,5.0,6.0,4.0,5.0,7.0,5.0,5.0,7.0,0.0,3.0,5.0,5.0,7.0,9.0,2,1,10.75,2.0
Hungría,3.0,5.0,6.0,1.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,6.0,8.0,4.0,4.0,2,1,15.25,2.0
Hungría,6.0,7.0,5.0,2.0,2.0,2.0,7.0,7.0,8.0,6.0,7.0,6.0,6.0,7.0,0.0,7.0,5.0,5.0,6.0,1.0,2,0,4.75,1.5
Hungría,5.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,1.0,2,0,10.75,2.0
Hungría,7.0,4.0,6.0,1.0,5.0,4.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,0.0,9.0,5.0,5.0,7.0,1.0,2,0,6.0,2.25
Hungría,6.0,3.0,3.0,1.0,5.0,3.0,8.0,5.0,8.0,5.0,4.0,6.0,5.0,5.0,0.0,8.0,6.0,5.0,6.0,6.0,2,0,9.25,2.0
Hungría,8.0,3.0,5.0,1.0,6.0,2.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,9.0,5.0,5.0,8.0,8.0,2,3,13.75,2.0
