,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
11015,0.08333333333333333,0.4922054882421776,0.5,0.0,0.0,0.0
7365,0.020833333333333332,0.5467481976371289,0.0,0.08333333333333333,0.6666666666666667,0.0
1644,0.7083333333333333,0.49035594307929387,0.0,0.25,0.0,0.7315068493150685
47211,0.40625,0.6316385460310414,0.5,0.0,0.0,0.8794520547945206
33432,0.03125,0.5315555052278,0.0,0.25,0.3333333333333333,0.4273972602739726
4982,0.8229166666666666,0.4751066319404913,0.5,0.25,0.0,0.0
43373,0.0625,0.5689427395915914,0.0,0.7499999999999999,0.0,0.673972602739726
7822,0.25,0.5485033782508708,0.0,0.0,0.0,0.0
37532,0.010416666666666666,0.48665685275355486,0.5,0.9999999999999999,0.0,0.40273972602739727
44829,0.26041666666666663,0.5782848299550665,0.0,0.0,1.0,0.9780821917808219
31798,0.21875,0.598195749820718,0.0,0.25,0.0,0.9945205479452055
47722,0.0625,0.5350281206356442,0.5,0.0,1.0,0.936986301369863
48364,0.21875,0.5990827765824918,0.5,0.08333333333333333,0.3333333333333333,0.9835616438356164
25930,0.19791666666666666,0.4907334012758042,0.0,0.16666666666666669,0.0,0.0
7040,0.21875,0.6216925225531327,0.0,0.0,0.3333333333333333,0.4657534246575343
21564,0.65625,0.7384780885516875,0.5,0.9999999999999999,0.0,0.0
23730,0.32291666666666663,0.6471520779073785,0.0,0.08333333333333333,0.0,0.0273972602739726
7800,0.13541666666666666,0.5093609632733092,0.0,0.0,0.0,0.6821917808219178
5260,1.0,0.613256331861237,0.0,0.0,0.0,0.12054794520547946
6650,0.125,0.5327633714566105,0.0,0.0,0.0,0.0
11605,0.020833333333333332,0.5524666893141728,0.5,0.0,0.3333333333333333,0.0
16852,1.0,0.6286000075491813,0.0,0.08333333333333333,0.0,0.4273972602739726
20137,0.0625,0.5531083682482176,0.0,0.08333333333333333,0.0,0.0
43494,0.125,0.5267240403125584,0.5,0.9999999999999999,0.0,0.4383561643835616
40151,0.8541666666666666,0.5294606122371874,1.0,0.0,0.3333333333333333,0.9972602739726028
2874,0.5625,0.56048767598989,0.5,0.0,0.0,0.989041095890411
39631,0.65625,0.748084399652754,0.0,0.0,0.0,0.6821917808219178
46021,0.44791666666666663,0.4492884912995976,0.5,0.9999999999999999,1.0,0.9506849315068493
11807,0.6354166666666666,0.9191295813988631,0.5,0.3333333333333333,0.0,0.9095890410958904
26405,0.21875,0.6160306496055625,0.0,0.08333333333333333,0.6666666666666667,0.049315068493150684
7762,0.125,0.5765296493413246,0.0,0.25,0.3333333333333333,0.0684931506849315
15481,0.020833333333333332,0.5408409768618014,0.0,0.08333333333333333,0.3333333333333333,0.0
34759,0.8541666666666666,0.5328577360057523,0.5,0.08333333333333333,0.0,0.0
850,0.125,0.56007247197374,0.0,0.16666666666666669,0.0,0.9808219178082191
24830,0.07291666666666666,0.46214094289058494,0.0,0.0,0.0,0.0
21837,0.78125,0.4028045144000316,0.5,0.3333333333333333,0.6666666666666667,0.8547945205479452
28298,0.29166666666666663,0.5409730872305829,0.5,0.16666666666666669,0.0,0.0
26981,0.08333333333333333,0.508492809421341,0.5,0.3333333333333333,0.0,0.4547945205479452
17933,0.020833333333333332,0.5492960404635028,0.0,0.49999999999999994,0.0,0.0
44949,0.010416666666666666,0.5063790435209228,0.0,0.0,1.0,0.989041095890411
8037,0.5104166666666666,0.6298267466877974,0.5,0.49999999999999994,0.0,0.0
4336,0.0625,0.5704903181972725,0.0,0.49999999999999994,0.0,0.0
31446,0.0625,0.5819650473709999,0.0,0.9999999999999999,0.0,0.0
34713,0.21875,0.6013852715811652,0.5,0.16666666666666669,0.0,0.008219178082191782
13956,0.21875,0.6261276563620584,0.0,0.0,0.0,0.4904109589041096
10761,0.3645833333333333,0.5981580040010499,0.0,0.25,1.0,0.9972602739726028
19869,0.125,0.5248744951496462,0.5,0.08333333333333333,0.0,0.005479452054794521
